time,pos,vel,tau
5.500000000000002665e-01,-1.959042270260522300e-01,-2.007268739595551299e+00,-7.130747890410430063e-03
5.600000000000002753e-01,-2.154597247146874950e-01,-1.900821657845564561e+00,-6.421571905916892767e-03
5.700000000000002842e-01,-2.337947481745970835e-01,-1.763415557738368777e+00,-5.606068617824096212e-03
5.800000000000002931e-01,-2.506001607640764850e-01,-1.595188465042789216e+00,-4.703206990855599533e-03
5.900000000000003020e-01,-2.655713876591435652e-01,-1.396912297420144000e+00,-3.734383673062362761e-03
6.000000000000003109e-01,-2.784145821510030094e-01,-1.169957605746828611e+00,-2.719889827590213881e-03
6.100000000000003197e-01,-2.888522470796980879e-01,-9.162201070917714851e-01,-1.676839870507237104e-03
6.200000000000003286e-01,-2.966280776163640054e-01,-6.380386463737099945e-01,-6.187915035830736160e-04
6.300000000000003375e-01,-3.015110226245528713e-01,-3.381211176448838396e-01,4.437141536565398581e-04
6.400000000000003464e-01,-3.032986678894968868e-01,-1.948301314606115664e-02,1.502380293572093493e-03
6.500000000000003553e-01,-3.018095747766515458e-01,3.166960530736182555e-01,2.676699612139333412e-03
6.600000000000003642e-01,-2.968851612848161792e-01,6.670288377809460156e-01,3.842939215277840336e-03
6.700000000000003730e-01,-2.884022318770610993e-01,1.027829398683376194e+00,4.990273146254641141e-03
6.800000000000003819e-01,-2.762758375074443329e-01,1.395138893120562162e+00,6.107875896924386781e-03
6.900000000000003908e-01,-2.604618579740268780e-01,1.764755485484839959e+00,7.184992288474308965e-03
7.000000000000003997e-01,-2.409592595817742766e-01,2.132269553520705685e+00,8.211015474941326178e-03
7.100000000000004086e-01,-2.178119690799984465e-01,2.493105381630841499e+00,9.175575862602130400e-03
7.200000000000004174e-01,-1.911102937062433005e-01,2.842570351332545542e+00,1.006864294300265951e-02
7.300000000000004263e-01,-1.609918087737509662e-01,3.175912269273020172e+00,1.088064084186034751e-02
7.400000000000004352e-01,-1.276416305004429153e-01,3.488384915105124051e+00,1.160257684853582306e-02
7.500000000000004441e-01,-9.129199446057423284e-02,3.775321172331355335e+00,1.222618041833488725e-02
7.600000000000004530e-01,-5.222107050701376568e-02,4.032212278877181255e+00,1.274404828914254932e-02
7.700000000000004619e-01,-1.075096395171901142e-02,4.254790880512310913e+00,1.314978962364354159e-02
7.800000000000004707e-01,3.275512001408639740e-02,4.439114789603546996e+00,1.343816370266224559e-02
7.900000000000004796e-01,7.789653751095934608e-02,4.581647754025707897e+00,1.360520187596809399e-02
8.000000000000004885e-01,1.242396428483340531e-01,4.679333230585496217e+00,1.364830540951232282e-02
8.100000000000004974e-01,1.713229110802588495e-01,4.729657214512370089e+00,1.356631166441811184e-02
8.200000000000005063e-01,2.186626187583655401e-01,4.730696641129919833e+00,1.335952271126284244e-02
8.300000000000005151e-01,2.657589245867402750e-01,4.681150734483907172e+00,1.302969291170715145e-02
8.400000000000005240e-01,3.121021711631309370e-01,4.580353860610468786e+00,1.257997496193763790e-02
8.500000000000005329e-01,3.571792214393435527e-01,4.428269830595027656e+00,1.201482707455159629e-02
8.600000000000005418e-01,4.004796502455954532e-01,4.225469037752182189e+00,1.133988702070445366e-02
8.700000000000005507e-01,4.415016318962642905e-01,3.973091141563392270e+00,1.056182131760369930e-02
8.800000000000005596e-01,4.797573976576379184e-01,3.672797081305054778e+00,9.688159646755191076e-03
8.900000000000005684e-01,5.147781785415496136e-01,3.326714904366357750e+00,8.727125448092376211e-03
9.000000000000005773e-01,5.461185954656903041e-01,2.937384168133023721e+00,7.687473499158383253e-03
9.100000000000005862e-01,5.734430642178065529e-01,2.524185534576699474e+00,7.571936198358351043e-03
9.200000000000005951e-01,5.964536968436602304e-01,2.075304973178317081e+00,6.505136382822052608e-03
9.300000000000006040e-01,6.148096437349754861e-01,1.593953245760036275e+00,5.379964613699537469e-03
9.400000000000006128e-01,6.282033813809986267e-01,1.083581887255695930e+00,4.205402046472893687e-03
9.500000000000006217e-01,6.363630643994475644e-01,5.478741434855132209e-01,2.990559891331746965e-03
9.600000000000006306e-01,6.390548475278595708e-01,-9.252199110758585476e-03,1.744678853674617698e-03
9.700000000000006395e-01,6.360852900920130892e-01,-5.836315529373212740e-01,4.771547567256890338e-04
9.800000000000006484e-01,6.273039350182246787e-01,-1.170829451704123780e+00,-8.024162953066498166e-04
9.900000000000006573e-01,6.126061228324778396e-01,-1.766117345634494296e+00,-2.084181755647401910e-03
1.000000000000000666e+00,5.919360592851521385e-01,-2.364447911581409656e+00,-3.357975554516650068e-03
1.010000000000000675e+00,5.652901047850000804e-01,-2.960436287313592985e+00,-4.613271277745763406e-03
1.020000000000000684e+00,5.327201969763899481e-01,-3.548353136646030581e+00,-5.839157324554043564e-03
1.030000000000000693e+00,4.943372577741713125e-01,-4.122135571083409999e+00,-7.024345587815098227e-03
1.040000000000000702e+00,4.503143773885773249e-01,-4.675421568510617298e+00,-8.157224108628608958e-03
1.050000000000000711e+00,4.008895160033834615e-01,-5.201612516597922564e+00,-9.225961956084606855e-03
1.060000000000000719e+00,3.463674255876610930e-01,-5.693966777743604268e+00,-1.021867113440375237e-02
1.070000000000000728e+00,2.871204771653001475e-01,-6.145724707093910055e+00,-1.112362561176563625e-02
1.080000000000000737e+00,2.235880896926238370e-01,-6.550262454686836655e+00,-1.192953178467397526e-02
1.090000000000000746e+00,1.562745007494252270e-01,-6.901268392299050980e+00,-1.262583823645442409e-02
1.100000000000000755e+00,8.574469862225388150e-02,-7.192932508455058382e+00,-1.320306539917597694e-02
1.110000000000000764e+00,1.261844874401851779e-02,-7.420135897820207660e+00,-1.365311566391973729e-02
1.120000000000000773e+00,-6.243749766276170121e-02,-7.578622477194406848e+00,-1.396934872947479603e-02
1.130000000000000782e+00,-1.387187378620540756e-01,-7.665133683161251987e+00,-1.414632750430442655e-02
1.140000000000000790e+00,-2.154944761695192501e-01,-7.677656629492354945e+00,-1.418934622258339294e-02
1.150000000000000799e+00,-2.920196400638681578e-01,-7.615346765802226692e+00,-1.409813503108828942e-02
1.160000000000000808e+00,-3.675465725010083617e-01,-7.478520339710354570e+00,-1.387441263596070860e-02
1.170000000000000817e+00,-4.410267565989698935e-01,-7.206783634289700480e+00,-9.795400893584505983e-03
1.180000000000000826e+00,-5.114403087404078008e-01,-6.866083188246831170e+00,-9.367280720297693417e-03
1.190000000000000835e+00,-5.781165342519054562e-01,-6.460297385701096573e+00,-8.834204659646982885e-03
1.200000000000000844e+00,-6.404279576138909302e-01,-5.994157205151597445e+00,-8.221198469950726645e-03
1.210000000000000853e+00,-6.977962955240764042e-01,-5.472737999612050430e+00,-7.534880825242807126e-03
1.220000000000000862e+00,-7.496949725151690336e-01,-4.901278266399531347e+00,-6.781833514412629813e-03
1.230000000000000870e+00,-7.956500085694705460e-01,-4.285036811028855475e+00,-5.969023366216655475e-03
1.240000000000000879e+00,-8.352396500823011660e-01,-3.629185153929506136e+00,-5.103597224354219745e-03
1.250000000000000888e+00,-8.680800760537429328e-01,-2.936134737214248336e+00,-4.035748057121699324e-03
1.260000000000000897e+00,-8.938509248196352397e-01,-2.216154514855519064e+00,-3.255082930154398237e-03
1.270000000000000906e+00,-9.122782717653952211e-01,-1.468280776329365489e+00,-2.105225302893161139e-03
1.280000000000000915e+00,-9.231053043767137867e-01,-6.969072154605641112e-01,-9.200695017897674282e-04
1.290000000000000924e+00,-9.261189254325736808e-01,9.360169134666496138e-02,2.936275315258151416e-04
1.300000000000000933e+00,-9.211499525091059182e-01,8.988091223388048334e-01,1.529083145972153510e-03
1.310000000000000941e+00,-9.080744307646800850e-01,1.714086227019820718e+00,2.779315076374798063e-03
1.320000000000000950e+00,-8.868161976914639144e-01,2.534482992461918105e+00,4.036950515256698506e-03
1.330000000000000959e+00,-8.573507454895021862e-01,3.354599609182610465e+00,5.294032575203258886e-03
1.340000000000000968e+00,-8.197103203445319508e-01,4.168469666125611539e+00,6.541840393065547279e-03
1.350000000000000977e+00,-7.739900777002814980e-01,4.969467853370039379e+00,7.770740991603403494e-03
1.360000000000000986e+00,-7.203549802327491314e-01,5.750255880618401427e+00,8.970092567431271063e-03
1.370000000000000995e+00,-6.590469859685763598e-01,6.502780584755599946e+00,1.012821954517903120e-02
1.380000000000001004e+00,-5.903919382218548728e-01,7.218337143229362596e+00,1.123247876397755023e-02
1.390000000000001013e+00,-5.148054528955364750e-01,7.887707358115221723e+00,1.226943270276102498e-02
1.400000000000001021e+00,-4.327970235230970686e-01,8.501377697078547513e+00,1.322513898619719942e-02
1.410000000000001030e+00,-3.449715542842366478e-01,9.049834086944965605e+00,1.408555522381420115e-02
1.420000000000001039e+00,-2.520276084236129366e-01,9.523920818167463054e+00,1.483704490756124726e-02
1.430000000000001048e+00,-1.547518383502130279e-01,9.915240473593389225e+00,1.546695495603481532e-02
1.440000000000001057e+00,-5.400934383471200917e-02,1.021656230979511903e+01,1.596422085099070270e-02
1.450000000000001066e+00,4.926993394649535618e-02,1.042220010531006302e+01,1.631994415595927270e-02
1.460000000000001075e+00,1.541082731252774174e-01,1.052831909435052005e+01,1.652788257600515745e-02
1.470000000000001084e+00,2.594997921893719139e-01,1.053313639545032743e+01,1.658479681344471324e-02
1.480000000000001092e+00,3.644314310035331461e-01,1.043699020609648720e+01,1.649061181371531612e-02
1.490000000000001101e+00,4.679039185603953710e-01,1.024226839379087650e+01,1.624837095011665011e-02
1.500000000000001110e+00,5.689513463267814597e-01,9.953204231207751107e+00,1.586398668485496793e-02
1.510000000000001119e+00,6.666581246463690880e-01,9.575562687717859234e+00,1.534581560107320559e-02
1.520000000000001128e+00,7.601723954251504711e-01,9.116252088681834564e+00,1.470410493967718238e-02
1.530000000000001137e+00,8.487153549892741955e-01,8.582901396262922589e+00,1.395036878195492561e-02
1.540000000000001146e+00,9.315863445962923040e-01,7.983442612765283108e+00,1.309675374899844751e-02
1.550000000000001155e+00,1.008163935149856583e+00,7.325731940129605491e+00,1.215544756976090837e-02
1.560000000000001164e+00,1.077903525236848736e+00,6.617234260574200277e+00,1.113817161618501500e-02
1.570000000000001172e+00,1.140332166421050619e+00,5.864785364631432962e+00,1.005578364041408330e-02
1.580000000000001181e+00,1.195041425652670020e+00,5.074436966506187474e+00,8.918002373480249725e-03
1.590000000000001190e+00,1.241679105835089336e+00,4.251382118743025629e+00,7.733253466755928875e-03
1.600000000000001199e+00,1.279940594764683803e+00,3.399953688530562346e+00,6.508627585938542813e-03
1.610000000000001208e+00,1.309560524720786212e+00,2.523686028059918485e+00,5.249936491466072018e-03
1.620000000000001217e+00,1.330305322133054968e+00,1.625429416871477351e+00,3.961851178534347637e-03
1.630000000000001226e+00,1.341967125653472870e+00,7.075076415736969437e-01,2.648106748950922879e-03
1.640000000000001235e+00,1.344359461645810550e+00,-2.280894634934533816e-01,1.311760666252922113e-03
1.650000000000001243e+00,1.337314992115280265e+00,-1.179485180342018324e+00,-4.450653257816885948e-05
1.660000000000001252e+00,1.320944426209154532e+00,-2.092972903107535032e+00,1.695503574722953804e-03
1.670000000000001261e+00,1.295416385522515590e+00,-3.010532754628544971e+00,7.773127156778502625e-04
1.680000000000001270e+00,1.260703160153395119e+00,-3.929454277162442999e+00,-1.577293426178905003e-04
1.690000000000001279e+00,1.216807971111578235e+00,-4.846226599838197480e+00,-1.106992079015757481e-03
1.700000000000001288e+00,1.163774050332740284e+00,-5.756327718445267472e+00,-2.067134164432354870e-03
1.710000000000001297e+00,1.100026774256347872e+00,-6.987333535072706603e+00,-2.311235579414502861e-02
1.720000000000001306e+00,1.024271087687529169e+00,-8.156477140084289701e+00,-2.175471734062856335e-02
1.730000000000001315e+00,9.371828161832616022e-01,-9.252043660211150211e+00,-2.029623281967614726e-02
1.740000000000001323e+00,8.395634967379181912e-01,-1.026064314215946638e+01,-1.872960025469286652e-02
1.750000000000001332e+00,7.323555356512208014e-01,-1.116756730194932778e+01,-1.704862808999007759e-02
1.760000000000001341e+00,6.166525715199132618e-01,-1.195739111439485924e+01,-1.524913368435618088e-02
1.770000000000001350e+00,4.937026616393002110e-01,-1.261480022044056959e+01,-1.332990351804504321e-02
1.780000000000001359e+00,3.649022982475808030e-01,-1.312558469086722646e+01,-1.129353018482108506e-02
1.790000000000001368e+00,2.317800785390874974e-01,-1.347769577823981635e+01,-9.146786912004118558e-03
1.800000000000001377e+00,9.597005004530909100e-02,-1.366223202872583897e+01,-6.900445102502187136e-03
1.810000000000001386e+00,-4.082386678382418643e-02,-1.367421645877745640e+01,-4.568754743117912215e-03
1.820000000000001394e+00,-1.768696864301641802e-01,-1.351304969514808718e+01,-2.168844014007485343e-03
1.830000000000001403e+00,-3.104517684770488062e-01,-1.318257088308893366e+01,2.798763322278285557e-04
1.840000000000001412e+00,-4.399138196064029671e-01,-1.269071974847298101e+01,2.756368223041896076e-03
1.850000000000001421e+00,-5.636967291312594552e-01,-1.204885574073247057e+01,5.238789362606247751e-03
1.860000000000001430e+00,-6.803683010656359498e-01,-1.127083906894552712e+01,7.705544752199690491e-03
1.870000000000001439e+00,-7.886431427691638074e-01,-1.037200353396538510e+01,1.013652602386705751e-02
1.880000000000001448e+00,-8.873922857329735736e-01,-9.368149973746570325e+00,1.251438598165199520e-02
1.890000000000001457e+00,-9.756433062771512343e-01,-8.274666999213808438e+00,1.482561083059314236e-02
1.900000000000001465e+00,-1.052572618062645571e+00,-7.105852106620606179e+00,1.706111540604675347e-02
1.910000000000001474e+00,-1.117492161614838997e+00,-5.874471329269113085e+00,1.921609854250733510e-02
1.920000000000001483e+00,-1.169832945650235878e+00,-4.591566794803680907e+00,2.128894929322838400e-02
1.930000000000001492e+00,-1.209127882088377515e+00,-3.266502162308916546e+00,2.327908903483849601e-02
1.940000000000001501e+00,-1.234996194042177642e+00,-1.907225130530123769e+00,2.518378182039996901e-02
1.950000000000001510e+00,-1.247131433007629298e+00,-5.207203489693537080e-01,2.699416401603828980e-02
1.960000000000001519e+00,-1.245294843097977999e+00,8.863797714170782438e-01,2.869103813515151702e-02
1.970000000000001528e+00,-1.229335493796402057e+00,2.303062739255397950e+00,2.999999999999999889e-02
1.980000000000001537e+00,-1.199290240040851829e+00,3.702719697013918676e+00,2.999999999999999889e-02
1.990000000000001545e+00,-1.155356118727958847e+00,5.079822139481657395e+00,2.999999999999999889e-02
2.000000000000001332e+00,-1.099249904168661640e+00,6.136313007982580281e+00,1.245272187029926314e-02
2.010000000000001119e+00,-1.032573672361557948e+00,7.192490223830407814e+00,1.450616711467839041e-02
2.020000000000000906e+00,-9.553766472870819371e-01,8.238874011351994042e+00,1.651873852311658980e-02
2.030000000000000693e+00,-8.678125924380053480e-01,9.264036775983207406e+00,1.846870055567089580e-02
2.040000000000000480e+00,-7.701593008035075849e-01,1.025462739396404110e+01,2.033099908204410652e-02
2.050000000000000266e+00,-6.628369250539118962e-01,1.119558466465262825e+01,2.207791799557752913e-02
2.060000000000000053e+00,-5.464230874354215617e-01,1.207057119302687376e+01,2.367991887624867203e-02
2.069999999999999840e+00,-4.216625043006657081e-01,1.286263548283151081e+01,2.510649222151691007e-02
2.079999999999999627e+00,-2.894689518686366370e-01,1.355507451311903822e+01,2.632677530171056296e-02
2.089999999999999414e+00,-1.509178992008300968e-01,1.413242396489839692e+01,2.730955358820860712e-02
2.099999999999999201e+00,-7.229128507544757554e-03,1.458145101577508385e+01,2.802181172968976758e-02
2.109999999999998987e+00,1.402597202640867569e-01,1.489195426874785078e+01,2.842323802824121837e-02
2.119999999999998774e+00,2.901248314465958433e-01,1.505698849161372443e+01,2.844571835642856553e-02
2.129999999999998561e+00,4.408793674993524148e-01,1.507092254459545977e+01,2.788336437494582515e-02
2.139999999999998348e+00,5.907347327329076636e-01,1.487908522387815857e+01,2.349699730377735607e-02
2.149999999999998135e+00,7.381426222252535085e-01,1.458387616359412142e+01,2.445647897581820426e-02
2.159999999999997922e+00,8.820311383009153960e-01,1.417808162557874496e+01,2.401994681837835155e-02
2.169999999999997708e+00,1.021369285896728485e+00,1.367690155003400321e+01,2.341404205368676633e-02
2.179999999999997495e+00,1.155285399195237428e+00,1.309681850677265658e+01,2.266719384300873094e-02
2.189999999999997282e+00,1.283074611789907227e+00,1.245454870076948239e+01,2.180743384219289982e-02
2.199999999999997069e+00,1.404196731504307127e+00,1.176618395290389962e+01,2.086342312495900395e-02
2.209999999999996856e+00,1.517478266184632663e+00,1.088906670318199765e+01,1.038215613590240567e-02
2.219999999999996643e+00,1.621956215284845904e+00,1.000748474694996126e+01,1.011739941272200849e-02
2.229999999999996430e+00,1.717657826709280355e+00,9.135353472110363526e+00,1.004528735423847186e-02
2.239999999999996216e+00,1.804558653125997836e+00,8.248485290101374545e+00,8.034769393214055699e-03
2.249999999999996003e+00,1.882649204656027697e+00,7.374037516798572334e+00,7.313990918176103972e-03
2.259999999999995790e+00,1.952085191050002777e+00,6.517968488382503978e+00,6.748218794171180479e-03
2.269999999999995577e+00,2.013064940465799868e+00,5.682901464875081743e+00,6.250275607447392315e-03
2.279999999999995364e+00,2.065802927868855221e+00,4.869496507583029654e+00,5.795041738384638930e-03
2.289999999999995151e+00,2.110512930886512262e+00,4.077002441763671214e+00,5.372043570414267860e-03
2.299999999999994937e+00,2.147395746502267500e+00,3.303616190306819966e+00,4.976113059036745001e-03
2.309999999999994724e+00,2.176630486386516683e+00,2.546839121913390791e+00,4.609578303055313075e-03
2.319999999999994511e+00,2.198366559922046548e+00,1.803259263501184151e+00,4.249981148078237070e-03
2.329999999999994298e+00,2.212718320428289420e+00,1.069301611221357806e+00,3.910201335802661153e-03
2.339999999999994085e+00,2.219762737278227149e+00,3.410852500429647494e-01,3.586462384648238938e-03
2.349999999999993872e+00,2.219537033477113841e+00,-3.854399041954749139e-01,3.276191141732029237e-03
2.359999999999993658e+00,2.212037541331095092e+00,-1.114384953935889655e+00,2.977007167175983390e-03
2.369999999999993445e+00,2.197219598521356954e+00,-1.849820832656314806e+00,2.686553940396409559e-03
2.379999999999993232e+00,2.174998461581768350e+00,-2.595674762874546460e+00,2.402438047068519017e-03
